,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
54,3-2-1 Circus!,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
55,Pizza at Sally's,6.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
56,Why I Love My Brother,12.2,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
57,Ties en Trijntje op vakantie,4.99,3.0,128.0,,"4,7/5 (6 reviews)",Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",4.7,6.0,"3.5, 4.5, 5.5, 6.5",5.0,128.0
58,"David, Fish & Penguins...",8.99,2.0,36.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,36.0
59,Sage's Song,0.73,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
60,The Animals of Chinese New Year / 中国农历新年动物生肖 Read-Along,8.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
61,De liefste papa en ik gaan verhuizen,5.99,3.0,25.0,,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,25.0
62,Kai to the Rescue!,14.14,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
63,"Bad Bye, Good Bye",10.99,3.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
64,Meester Max en de minimonsters,7.99,5.0,160.0,,"4,8/5 (8 reviews)",Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",4.8,8.0,"3.5, 4.5, 5.5, 6.5",5.0,160.0
65,Iris & Michiel 4 vrolijke verhalen,6.99,3.0,,252.0,"4,0/5 (4 reviews)",Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",4.0,4.0,"3.5, 4.5, 5.5, 6.5",5.0,252.0
66,Giraffes Can't Dance,2.49,5.0,,,"4,7/5 (7 reviews)",Engels,0-12 maanden,4.7,7.0,0.5,0.5,
67,Jack's Tractor,2.49,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
68,Fiets!,7.99,3.0,40.0,,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,40.0
69,NIR! Leveled Readers 1 - Now I'm Reading! Level 1: Playful Pals,0.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
70,The Octonauts and The Growing Goldfish,9.51,2.0,,40.0,"5,0/5 (1 review)",Engels,0-12 maanden,5.0,1.0,0.5,0.5,40.0
71,Ten Minutes to Bed - Ten Minutes to Bed: Little Monster,6.49,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
72,Disney Storybook with Audio (eBook) -  Minnie: Always in Fashion,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
73,Race Car Count,6.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
74,"Dag, Sinterklaasje",6.99,3.0,64.0,,"4,6/5 (9 reviews)",Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",4.6,9.0,"3.5, 4.5, 5.5, 6.5",5.0,64.0
75,Liselotte lernt schwimmen,4.99,2.0,,,no reviews,no language,0-12 maanden,,,0.5,0.5,
76,Bailey And Her Two Dads - Band 1 - English Edition,3.49,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
77,Un Regalo para Mamá,1.99,2.0,,,no reviews,Spaans,vanaf 3 jaar,,,3.5,3.5,
78,Mi Mundo Tiene Color,1.99,2.0,,,no reviews,Spaans,vanaf 3 jaar,,,3.5,3.5,
79,Pete the Cat - Pete the Cat: Five Little Ducks,6.99,3.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
80,Baby Loves Science 3 -  Baby Loves Thermodynamics!,5.99,2.0,20.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,20.0
81,Forest Baby,7.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
82,The Fairytale Hairdresser - The Fairytale Hairdresser and Rapunzel,6.49,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
83,Over in the Meadow,6.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
84,10 Little Ninjas,6.99,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
85,A Hello!Lucky Book -  Kindness Rules! (A Hello!Lucky Book),6.99,3.0,24.0,,no reviews,Engels,"0-12 maanden, vanaf 2 jaar",,,"0.5, 2.5",1.5,24.0
86,Un mal dia de DLee,2.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
87,The Noisy Counting Book,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
88,"It's Monday, Mrs. Jolly Bones!",12.29,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
89,George Goes Swimming,1.99,2.0,,20.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,20.0
90,Play This Book,9.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
91,Cars Are Cool! (StoryBots),6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
92,Tummy Tom -  The grey collection,2.99,2.0,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
93,My Big Machines - Ride the Big Machines in Winter,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
94,Greta en de reuzen,9.99,2.0,,,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,
95,Bambi,0.49,5.0,128.0,122.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,128.0
96,Feesten met de liefste papa,3.99,3.0,32.0,,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,32.0
97,Where Do...Series - Where Do Diggers Sleep at Night?: Read & Listen Edition,8.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
98,Bing -  Bing Hide and Seek (Bing),6.78,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
99,Babybooks -  Hay um pato em el trafico,3.99,2.0,,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,
100,Little Golden Book -  Richard Scarry's Cars and Trucks,5.34,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
101,Al Pha's Bet,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
102,Honey,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
103,Estaba la rana,4.49,2.0,,,no reviews,Spaans,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
104,Ladybird Christmas Carols,6.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
105,Backseat A-B-See,7.62,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
106,L'anniversaire de Liselotte,4.99,2.0,,,no reviews,Frans,0-12 maanden,,,0.5,0.5,
107,Food Truck Fest!,10.99,2.0,40.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,40.0
108,Curious Baby Curious George - Curious Baby: My Curious Dreamer (Read-aloud),5.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
109,Choo Choo Clickety-Clack!,0.99,2.0,,32.0,no reviews,Engels,"0-12 maanden, vanaf 2 jaar, vanaf 3 jaar",,,"0.5, 2.5, 3.5",2.1666666666666665,32.0
110,Hansel and Gretel: Ladybird First Favourite Tales,4.99,,,,no reviews,Engels,"0-12 maanden, vanaf 3 jaar",,,"0.5, 3.5",2.0,
111,"Goldasch, was soll das?",14.99,2.0,,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
112,We're Going to the Farmers' Market,5.44,2.0,16.0,,no reviews,Engels,"0-12 maanden, vanaf 1 jaar",,,"0.5, 1.5",1.0,16.0
113,Kinderverhalen,2.99,3.0,,24.0,no reviews,Nederlands,vanaf 2 jaar,,,2.5,2.5,24.0
114,Dikkie Dik -  Colección amarillo,2.99,2.0,,,no reviews,Spaans,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
115,Peter Rabbit: Easter Surprise,6.49,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
116,The greatest daddy and me,5.99,2.0,,,no reviews,no language,0-12 maanden,,,0.5,0.5,
117,No Two Alike,10.05,2.0,36.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,36.0
118,Pinki & Emil,6.49,2.0,,66.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,66.0
119,Robot Kitties,4.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
120,My Love is for You Read-Along,8.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
121,Disney Storybook with Audio (eBook) -  Mickey's Halloween Treat,5.99,2.0,,16.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,16.0
122,Ontdekken met de liefste papa,3.99,3.0,32.0,,"4,0/5 (1 review)",Nederlands,vanaf 3 jaar,4.0,1.0,3.5,3.5,32.0
123,A Mary Blair Treasury of Golden Books,7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
124,The Little Puppy,1.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
125,Spelen met de liefste papa,3.99,3.0,23.0,,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,23.0
126,Sarah und die Farbenkinder,0.99,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
127,Lottie Potter Wants an Otter,8.8,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
128,Usborne Picture Books - On the Moon: For tablet devices: For tablet devices,3.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
129,Tummy Tom -  The red collection,2.99,2.0,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
130,"Little People, BIG DREAMS - Harriet Tubman",10.99,3.0,24.0,,no reviews,Duits,vanaf 2 jaar,,,2.5,2.5,24.0
131,Tummy Tom -  The yellow collection,2.99,2.0,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
132,Dikkie Dik -  Colección rojo,2.99,2.0,,,no reviews,Spaans,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
133,Your Hand in My Hand,2.49,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
134,"Bunny Roo, I Love You",8.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
135,Splash and Bubbles - Splash and Bubbles: So Many Sea Creatures!,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
136,La ferme,4.99,2.0,32.0,,no reviews,Frans,vanaf 3 jaar,,,3.5,3.5,32.0
137,Perro Grande... Perro Pequeno,4.99,2.0,,32.0,"5,0/5 (2 reviews)",Spaans,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",5.0,2.0,"3.5, 4.5, 5.5, 6.5",5.0,32.0
138,Kleine Cowboys ganz groß,11.3,2.0,36.0,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,36.0
139,Round is a Mooncake,6.53,3.0,40.0,40.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,40.0
140,Trucks are Terrific! (StoryBots),6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
141,"¡Te amo, te abrazo, leo contigo/Love You, Hug You, Read to You!",6.99,,,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,
142,A Book of Babies,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
143,Our Car,8.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
144,"Hello, World - Tokyo",6.99,2.0,14.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,14.0
145,The Crippled Lamb,9.99,3.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
146,Bing -  Looking After Flop (Bing),6.78,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
147,We Are Music,10.05,2.0,32.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
148,My Car,4.99,3.0,40.0,40.0,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,40.0
149,Beginner Books(R) - Summer,5.99,3.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
150,Diggers Go,6.53,2.0,16.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,16.0
151,School of Roars 1 - Show and Tell,2.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
152,The Number Story 1,5.44,3.0,,32.0,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,32.0
153,Look at the Animals,5.99,2.0,18.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,18.0
154,Hello Genius -  Big Bed for Giraffe,7.85,3.0,20.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,20.0
155,Caravan Fran,3.99,2.0,,24.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
156,Dierenpret,9.99,2.0,32.0,,"4,5/5 (2 reviews)",Nederlands,vanaf 3 jaar,4.5,2.0,3.5,3.5,32.0
157,Itsy Bitsy -  The Itsy Bitsy Duckling,6.7,2.0,16.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,16.0
158,De circusplasser,3.49,3.0,32.0,,"1,0/5 (1 review)",Nederlands,vanaf 3 jaar,1.0,1.0,3.5,3.5,32.0
159,Santa Never Brings Me a Banjo,7.99,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
160,"Kiss, Tickle, Cuddle, Hug Read-Along",8.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
161,There's A House Inside My Mummy,2.49,3.0,26.0,32.0,no reviews,Engels,"0-12 maanden, vanaf 2 jaar",,,"0.5, 2.5",1.5,26.0
162,"Come On, Daisy!",3.99,3.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
163,Der Ostermann,9.99,4.0,48.0,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,48.0
164,Night Owl,6.99,2.0,32.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,32.0
165,I Love My Mocha Skin,5.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
166,Hamsters on the Go Read-Along,8.99,2.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
167,Peepee Poopoo,4.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
168,Mimi and the Piano,6.99,2.0,24.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,24.0
169,Little Golden Book - The Animals' Christmas Eve,4.99,2.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
170,There's a Dragon in My Sleeping Bag,8.94,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
171,A Chunky Book(R) - Richard Scarry's Lowly Worm Word Book,3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
172,There's No Such Thing as Little,7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
173,Love You More,7.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
174,Prince George 2 -  Prince George and the Royal Potty,4.49,2.0,,32.0,no reviews,Engels,"0-12 maanden, vanaf 2 jaar",,,"0.5, 2.5",1.5,32.0
175,"Kiss, Tickle, Cuddle, Hug / Sguna, Salgang, Dang k'uut'as, Dang k'uusgid",7.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
176,Numbers,0.99,3.0,48.0,48.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,48.0
177,Not Yet Zebra,7.99,3.0,32.0,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
178,Dig Dig Digging,2.49,5.0,,,no reviews,Engels,"0-12 maanden, vanaf 3 jaar",,,"0.5, 3.5",2.0,
179,Ana Cultiva Manzanas / Apple Farmer Annie,6.99,2.0,32.0,,no reviews,Spaans,vanaf 3 jaar,,,3.5,3.5,32.0
180,Big Boys Go Potty,8.99,3.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
181,The Little Engine That Could -  I Knew You Could!,6.99,3.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
182,Emergency!,2.49,3.0,,,no reviews,Engels,"0-12 maanden, vanaf 3 jaar",,,"0.5, 3.5",2.0,
183,Tommy und der Zauberwürfel,0.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
184,Ten Zany Birds,2.68,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
185,Wir zwei gehören zusammen 1 - Wir zwei gehören zusammen,6.78,2.0,32.0,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,32.0
186,Yoga Teddy Bear A-B-C,27.24,2.0,,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
187,Disney Picture Book (ebook) -  Inside Out: Sadly Ever After?,12.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
188,Bing -  Big Slide (Bing),6.78,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
189,The Trouble with Trucks,0.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
190,Taschenbuch-Literatur-Klassiker 6 - Bambi,2.99,5.0,,122.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,122.0
191,Little Blue Truck's Springtime,8.99,3.0,16.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,16.0
192,De voorleestrein,4.99,3.0,32.0,,"3,9/5 (9 reviews)",Nederlands,vanaf 3 jaar,3.9,9.0,3.5,3.5,32.0
193,Prinzessin Lillifee und das kleine Reh,5.99,4.0,,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
194,Step into Reading - Pretty Penny Comes Up Short,3.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
195,Mouse Math -  Mice on Ice,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
196,Where's Ellie?,4.99,2.0,18.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,18.0
197,Demolicion,7.99,,,,no reviews,Spaans,vanaf 2 jaar,,,2.5,2.5,
198,"Duck & Goose - Duck & Goose, It's Time for Christmas! Read & Listen Edition",6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
199,Stanley -  Stanley's Train,6.49,3.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
200,"Look, Look!",5.99,2.0,18.0,,"4,0/5 (1 review)",Engels,0-12 maanden,4.0,1.0,0.5,0.5,18.0
201,God Made You Nose to Toes,6.99,2.0,18.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,18.0
202,Elisa va a cursosde natacion,4.99,2.0,,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,
203,Bambi,0.49,5.0,,122.0,no reviews,Duits,0-12 maanden,,,0.5,0.5,122.0
204,Demolition,7.99,3.0,24.0,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
205,Hamsters Holding Hands,7.99,4.0,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
206,El cumpleanos de Elisa,4.99,2.0,,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,
207,The ABC Character Builder,4.35,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
208,Aquarium,13.07,5.0,40.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,40.0
209,Alice's Adventures in Wonderland,5.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
210,Tummy Tom -  The blue collection,2.99,2.0,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
211,"Step into Reading - The Berenstain Bears' Big Bear, Small Bear",4.99,3.0,24.0,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
212,Cat Says Meow,8.71,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
213,Liselotte va avoir une petite soeur,4.99,2.0,,,no reviews,Frans,0-12 maanden,,,0.5,0.5,
214,Fire Engine No. 9,4.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
215,Look-Look - Richard Scarry's A Day at the Police Station,5.34,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
216,Little Golden Book - Richard Scarry's Chipmunk's ABC,3.99,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
217,Bouncing Bouncing Little Joeys,3.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
218,Denis the Inventor,4.99,2.0,,68.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,68.0
219,Dance Together Dinosaurs,5.49,2.0,,32.0,no reviews,Engels,0-12 maanden,,,0.5,0.5,32.0
220,Where Were We Before We Were Born?,2.48,2.0,,42.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,42.0
221,Sunny's Tow Truck Saves the Day!,10.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
222,Curious George - Jorge el curioso y el conejito,4.99,3.0,24.0,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,24.0
223,Ship,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
224,It is great to be friends with you!,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
225,Max - Max at Night,6.49,3.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
226,Liesl's birthday,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
227,Kleiner Dreckspatz Aurelia,6.49,2.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
228,Step into Reading - Eat My Dust! Henry Ford's First Race,4.99,2.0,,48.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,48.0
229,My Very First I Can Read - Learn to Read with Tug the Pup and Friends! Set 3: Books 1-5,5.99,,,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",,,"3.5, 4.5, 5.5, 6.5",5.0,
230,A Pattern for Pepper,10.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
231,I Play,8.99,,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
232,Little Excavator,7.99,2.0,40.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,40.0
233,Zwei Mütter sind keine zu viel,0.99,2.0,,,no reviews,Duits,"0-12 maanden, vanaf 1 jaar, vanaf 3 jaar",,,"0.5, 1.5, 3.5",1.8333333333333333,
234,Little Golden Book Freewheelin Favorites,5.75,2.0,80.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,80.0
235,Beginner Books(R) - One Fish Two Fish Red Fish Blue Fish,6.99,3.0,72.0,,"2,0/5 (1 review)",Engels,0-12 maanden,2.0,1.0,0.5,0.5,72.0
236,Lots of Kisses Read-Along,8.99,2.0,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
237,Jungle Gym,6.99,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
238,Mummy and Me,7.99,,,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,
239,World Full of Horses,9.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
240,Hugless Douglas 1 - Hugless Douglas First Words,1.99,2.0,12.0,,no reviews,Engels,"0-12 maanden, vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"0.5, 1.5, 2.5, 3.5",2.0,12.0
241,Bing -  Bing Ducks (Bing),6.78,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
242,Snowflakes Fall,4.78,2.0,22.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,22.0
243,CGTV - Curious George The Donut Delivery,4.99,3.0,,24.0,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,24.0
244,Little Golden Book - The Poky Little Puppy and the Pumpkin Patch,5.34,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
245,William Bee’s Wonderful World of Tractors and Farm Machines,12.27,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
246,Que contenta ahora estoy porque tu amiguita soy!,4.99,2.0,,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,
247,Plane,4.99,3.0,16.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,16.0
248,El mejor papa del mundo,5.99,2.0,,,no reviews,Spaans,0-12 maanden,,,0.5,0.5,
249,I'll Teach my Dog 100 Words,6.99,2.0,36.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,36.0
250,Worm Weather,4.99,2.0,,32.0,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
251,Push! Dig! Scoop!,5.99,2.0,32.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,32.0
252,"Goodbye Autumn, Hello Winter",9.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
253,Mad About Trucks and Diggers!,3.99,2.0,,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
254,Leslie Patricelli Board Books -  Toot,4.99,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
255,Goodnight Moon,5.99,5.0,34.0,32.0,"4,8/5 (4 reviews)",Engels,vanaf 1 jaar,4.8,4.0,1.5,1.5,34.0
256,Ladybug Girl - Ladybug Girl and Bumblebee Boy,7.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
257,Yako The Monkey -  Monkeys Don't Wear Clothes!,5.88,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
258,Bob Bampton - The Little Kitten,1.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
259,"A Greyhound, a Groundhog",7.99,2.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
260,The Very Hungry Caterpillar - The Very Hungry Caterpillar,6.49,5.0,,,"4,2/5 (9 reviews)",Engels,0-12 maanden,4.2,9.0,0.5,0.5,
261,My First MOG 123,6.6,2.0,22.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,22.0
262,Lovey Bunny -  Lovey Bunny,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
263,Where Do...Series - Where Do Jet Planes Sleep at Night?,6.99,2.0,26.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,26.0
264,Mouse Math -  The Mousier the Merrier!,24.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
