,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
987,God ... in the Ordinary Things,4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
988,"Mama, I Want to See God",4.9,4.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
989,G&D Vintage - Bunny Hopwell's First Spring,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
990,Food Trucks!,10.99,2.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
991,Flora and Her Feathered Friends -  Flora and the Ostrich,9.8,5.0,20.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,20.0
992,Snowball,7.99,4.0,32.0,32.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
993,Pictureback(R) -  Spring into Summer!/Fall into Winter!(Dr. Seuss/The Cat in the Hat Knows a Lot About That!),4.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
994,Wie verhext,2.49,,,,no reviews,Duits,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
995,Adventures with Barefoot Critters,10.99,2.0,30.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,30.0
996,The Tale of Two Bad Mice,5.49,5.0,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
997,"One Leaf, Two Leaves, Count with Me!",7.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
998,My Teacher Hilda -  A Picnic Day,2.7,2.0,,36.0,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,36.0
999,Peepers,4.99,3.0,32.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,32.0
1000,Bedtime 123,7.99,5.0,26.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,26.0
1001,Diwali Lights Read-Along,8.99,5.0,24.0,,no reviews,Engels,vanaf 1 jaar,,,1.5,1.5,24.0
1002,Ten Little Rabbits,7.62,3.0,24.0,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,24.0
1003,Five Stinky Socks,4.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
1004,Big Boy Underpants,6.99,2.0,24.0,,no reviews,Engels,0-12 maanden,,,0.5,0.5,24.0
1005,Das Neueste von Rudolph,2.49,2.0,,62.0,no reviews,Duits,vanaf 3 jaar,,,3.5,3.5,62.0
1006,Penguin Core Concepts - Foreman Farley Has a Backhoe,4.99,,,,no reviews,Engels,"vanaf 3 jaar, vanaf 4 jaar",,,"3.5, 4.5",4.0,
